Feature,Reference_Mean,Current_Mean,Mean_Change_%,KS_Statistic,P_Value,Significant_Drift
Power_W,6281.464568276496,6836.225193133897,8.831708255732723,0.2215189553415037,1.331747144942252e-53,True
Tool wear,107.67910767910767,148.869913275517,38.25329396224309,0.20827832502282134,2.1844898803532426e-47,True
Torque,39.99579579579579,44.72408272181454,11.821959863380856,0.19189560283622992,3.0186739440017633e-40,True
Rotational speed,1539.017589017589,1497.0747164776517,-2.725301701503682,0.1528639093682456,1.2230355842645765e-25,True
Temp_diff,9.993264693264695,9.954769846564377,-0.3852079163505366,0.026816581186160905,0.3304095717703806,False
Air temperature,300.0116259116259,300.0538358905937,0.014069447755404531,0.019781336659255272,0.7105356243581253,False
Process temperature,310.00489060489065,310.0086057371581,0.0011984108573977765,0.01884863992936041,0.7641914780685215,False
